asset_id,asset_type,grid_x_x,grid_x_y,grid_y_x,grid_y_y,asset_thumb_id,map_id,asset_name
1,Laptop,28,40,58,55,1,3,Laptop Speedy 101
2,Laptop,21,28,60,56,1,3,Laptop Speedy 102
3,Laptop,25,11,62,62,3,3,Laptop Speedy 103
4,Laptop,6,50,58,62,2,2,Laptop Speedy 104
5,Laptop,39,41,64,60,1,4,Laptop Speedy 105
6,Laptop,42,46,62,64,3,5,Laptop Speedy 106
7,Laptop,23,20,65,65,4,4,Laptop Speedy 107
8,Laptop,46,30,64,64,5,2,Laptop Speedy 108
9,Laptop,48,37,67,68,5,1,Laptop Speedy 109
10,Laptop,43,24,66,68,2,5,Laptop Speedy 110
11,Laptop,50,22,69,65,1,5,Laptop Speedy 111
12,Laptop,16,48,69,68,1,5,Laptop Speedy 112
13,Laptop,49,45,70,68,2,2,Laptop Speedy 113
14,Laptop,15,0,72,69,4,3,Laptop Speedy 114
15,Laptop,20,49,73,69,4,5,Laptop Speedy 115
16,Laptop,5,9,70,70,4,3,Laptop Speedy 116
17,Laptop,31,18,76,72,3,5,Laptop Speedy 117
18,Laptop,39,5,75,74,4,5,Laptop Speedy 118
19,Laptop,33,44,78,75,2,3,Laptop Speedy 119
20,Laptop,27,9,79,74,4,1,Laptop Speedy 120
21,TV,35,27,80,80,3,1,TV Ultra 101
22,TV,18,26,81,79,2,4,TV Ultra 102
23,TV,47,22,77,78,3,4,TV Ultra 103
24,TV,36,3,82,81,2,2,TV Ultra 104
25,TV,2,30,81,79,3,5,TV Ultra 105
26,TV,32,9,81,81,1,5,TV Ultra 106
27,TV,18,17,83,82,1,4,TV Ultra 107
28,TV,13,29,85,87,2,5,TV Ultra 108
29,TV,1,0,88,85,3,4,TV Ultra 109
30,TV,33,3,84,84,5,3,TV Ultra 110
31,TV,39,41,85,87,3,2,TV Ultra 111
32,TV,48,8,87,86,2,4,TV Ultra 112
33,TV,28,30,87,87,3,4,TV Ultra 113
34,TV,1,45,93,88,1,1,TV Ultra 114
35,TV,0,50,90,90,4,2,TV Ultra 115
36,TV,47,7,92,95,3,3,TV Ultra 116
37,TV,11,19,94,91,5,2,TV Ultra 117
38,TV,13,12,93,92,4,2,TV Ultra 118
39,TV,12,45,97,94,1,5,TV Ultra 119
40,TV,39,32,94,94,4,5,TV Ultra 120
41,Server,47,36,97,96,3,3,Server PowerX 101
42,Server,34,17,98,101,5,4,Server PowerX 102
43,Server,16,10,99,100,1,4,Server PowerX 103
44,Server,10,29,100,103,5,4,Server PowerX 104
45,Server,42,15,104,103,1,5,Server PowerX 105
46,Server,12,21,103,105,2,5,Server PowerX 106
47,Server,15,30,101,103,3,1,Server PowerX 107
48,Server,9,27,103,106,5,2,Server PowerX 108
49,Server,5,28,106,103,5,2,Server PowerX 109
50,Server,22,24,108,107,2,1,Server PowerX 110
51,Server,28,17,110,106,1,3,Server PowerX 111
52,Server,2,40,106,106,2,1,Server PowerX 112
53,Server,41,16,108,109,4,3,Server PowerX 113
54,Server,41,44,108,110,1,4,Server PowerX 114
55,Server,2,3,110,112,3,3,Server PowerX 115
56,Server,5,45,110,112,2,4,Server PowerX 116
57,Server,33,4,114,112,1,1,Server PowerX 117
58,Server,8,26,115,116,1,2,Server PowerX 118
59,Server,36,13,117,116,4,4,Server PowerX 119
60,Server,42,49,116,114,1,2,Server PowerX 120
61,Router,44,19,118,117,3,1,Router MegaNet 101
62,Router,40,10,118,121,5,4,Router MegaNet 102
63,Router,19,8,121,120,4,3,Router MegaNet 103
64,Router,37,20,120,120,4,3,Router MegaNet 104
65,Router,28,0,119,119,4,2,Router MegaNet 105
66,Router,42,41,125,120,4,1,Router MegaNet 106
67,Router,46,48,123,122,5,2,Router MegaNet 107
68,Router,11,3,124,122,5,2,Router MegaNet 108
69,Router,9,5,126,125,2,3,Router MegaNet 109
70,Router,16,47,125,126,3,4,Router MegaNet 110
71,Router,6,14,126,127,2,4,Router MegaNet 111
72,Router,26,11,126,129,5,5,Router MegaNet 112
73,Router,49,9,132,129,2,4,Router MegaNet 113
74,Router,32,44,128,131,5,2,Router MegaNet 114
75,Router,39,11,134,129,1,4,Router MegaNet 115
76,Router,32,1,130,133,3,2,Router MegaNet 116
77,Router,36,8,136,136,1,2,Router MegaNet 117
